"","Teleological","MechanisticAgent","MechanisticLayout","NumCauses","Contrastive","SufficientDetail","Satisfying","Complete","Trust","EID","PID","type","SID","ExplanationNeed","ExplanationCuriosity","GenderAnnotator","AgeAnnotator","expPID","GenderExplainer","AgeExplainer"
"39",3,4,4,2,FALSE,3,3,2,2,"26","5ed96b216cd601153c1882f0","Mechanistic",1,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","35-44 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"40",4,2,3,1,FALSE,4,4,4,5,"26","55d524a68ce09000057d4826","Mechanistic",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"41",4,2,3,1,FALSE,2,1,2,4,"34","65428adcca88b655d14cf6db","Mechanistic",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","647be991db1ffbd6bbcc5bc6","Male","25-34 years old"
"42",3,3,2,1,TRUE,4,2,2,4,"34","613e157ccd6af6049001ce25","Mechanistic",1,1,"To know why the self-driving car did not make some other decision.","Female","65+ years old","647be991db1ffbd6bbcc5bc6","Male","25-34 years old"
"43",5,5,5,5,TRUE,4,5,5,5,"34","642fddea569bcd81fca8f35a","Mechanistic",1,4,"To know that I understand the self-driving car correctly.","Male","45-54 years old","647be991db1ffbd6bbcc5bc6","Male","25-34 years old"
"44",3,1,2,1,FALSE,3,3,3,4,"34","55d524a68ce09000057d4826","Mechanistic",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","647be991db1ffbd6bbcc5bc6","Male","25-34 years old"
"45",1,1,5,1,FALSE,4,3,3,3,"34","574beef75e549100063c2ad0","Mechanistic",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","647be991db1ffbd6bbcc5bc6","Male","25-34 years old"
"46",5,1,1,1,TRUE,1,1,1,1,"36","65428adcca88b655d14cf6db","Mechanistic",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"47",4,1,2,1,TRUE,2,1,1,2,"36","613e157ccd6af6049001ce25","Mechanistic",1,1,"To know why the self-driving car did not make some other decision.","Female","65+ years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"48",1,1,1,1,FALSE,1,1,1,1,"36","6539518f1ace74e4d496fc7b","Mechanistic",1,2,"To know why the self-driving car did not make some other decision.","Male","45-54 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"49",4,4,4,2,TRUE,4,3,4,4,"36","647c634cd65cca58780f6b82","Mechanistic",1,4,"To know what the self-driving car would have done if something had been different.","Male","45-54 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"50",2,3,2,1,FALSE,4,4,4,3,"36","64d61f070e4a6c0e008d692a","Mechanistic",1,3,"To know what the self-driving car would have done if something had been different.","Male","55-64 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"51",4,2,5,0,TRUE,1,1,1,1,"51","65428adcca88b655d14cf6db","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"52",5,5,1,1,TRUE,2,2,2,4,"51","652e8fa11356c619d2c8bdb3","Counterfactual",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"53",3,2,4,1,FALSE,4,4,2,4,"51","654f3f5b7634b6d7df3e9065","Counterfactual",1,4,"To know that I understand the self-driving car correctly.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","35-44 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"54",4,2,4,2,TRUE,2,2,2,4,"51","5f606aeccdc12d000a79181a","Counterfactual",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","55-64 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"55",5,5,5,1,TRUE,5,5,5,1,"51","654d03ec6d9ed752946923cd","Counterfactual",1,3,"To know that I understand the self-driving car correctly.,To know what the self-driving car would have done if something had been different.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","55-64 years old","5f6f88cdb1ca47522ca4eef3","Female","35-44 years old"
"56",2,2,1,0,TRUE,1,1,1,1,"60","65428adcca88b655d14cf6db","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63d7e54a90879dee84dffb32","Female","45-54 years old"
"57",3,3,2,1,TRUE,4,4,5,2,"60","6314e875f7c98f1d344b2e3f","Counterfactual",1,3,"To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","25-34 years old","63d7e54a90879dee84dffb32","Female","45-54 years old"
"58",5,5,5,1,TRUE,2,2,2,5,"60","63d410114a361b7bee9c12b9","Counterfactual",1,5,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","63d7e54a90879dee84dffb32","Female","45-54 years old"
"59",3,3,4,1,FALSE,2,3,2,4,"60","5f606aeccdc12d000a79181a","Counterfactual",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","55-64 years old","63d7e54a90879dee84dffb32","Female","45-54 years old"
"60",1,5,1,0,TRUE,1,1,1,3,"60","5eefc651cb94ad4c4d017b86","Counterfactual",1,3,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63d7e54a90879dee84dffb32","Female","45-54 years old"
"61",3,3,4,1,TRUE,1,1,1,1,"61","65428adcca88b655d14cf6db","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"62",5,5,5,2,TRUE,5,5,5,5,"61","652e8fa11356c619d2c8bdb3","Counterfactual",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"63",4,3,4,1,TRUE,2,4,2,5,"61","63d410114a361b7bee9c12b9","Counterfactual",1,5,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"64",5,1,1,0,FALSE,5,5,4,5,"61","64467092479723cb7906e371","Counterfactual",1,5,"To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Female","65+ years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"65",4,4,4,2,TRUE,4,4,4,4,"61","647c634cd65cca58780f6b82","Counterfactual",1,4,"To know what the self-driving car would have done if something had been different.","Male","45-54 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"66",1,1,1,0,TRUE,1,1,2,3,"61","5eefc651cb94ad4c4d017b86","Counterfactual",1,3,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"67",4,4,3,0,TRUE,1,1,1,1,"63","65428adcca88b655d14cf6db","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"68",5,5,5,1,TRUE,4,2,4,4,"63","652e8fa11356c619d2c8bdb3","Counterfactual",1,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","25-34 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"69",5,5,5,2,TRUE,5,5,5,5,"63","63d410114a361b7bee9c12b9","Counterfactual",1,5,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"70",4,2,4,2,TRUE,1,1,1,5,"63","5ed96b216cd601153c1882f0","Counterfactual",1,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","35-44 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"71",3,3,1,2,TRUE,2,2,2,4,"63","574beef75e549100063c2ad0","Counterfactual",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","35-44 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"72",4,5,1,1,TRUE,1,1,1,1,"65","65428adcca88b655d14cf6db","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"73",3,5,4,1,FALSE,1,1,2,5,"65","575da735e6e5a10007016e41","Counterfactual",1,4,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","45-54 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"74",4,4,3,1,FALSE,4,4,5,4,"65","654f3f5b7634b6d7df3e9065","Counterfactual",1,4,"To know that I understand the self-driving car correctly.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","35-44 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"75",5,1,1,0,TRUE,5,4,5,5,"65","64467092479723cb7906e371","Counterfactual",1,5,"To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Female","65+ years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"76",3,4,3,1,TRUE,3,3,3,4,"65","6290d46c21b280fe8d88155f","Counterfactual",1,4,"To know why the self-driving car did not make some other decision.","Male","25-34 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"77",2,5,2,0,TRUE,1,1,1,3,"65","5eefc651cb94ad4c4d017b86","Counterfactual",1,3,"To know why the self-driving car did not make some other decision.,I was surprised by the self-driving car's actions and want to know what I missed.","Male","25-34 years old","62eab49b3494af2a6cb7348d","Male","35-44 years old"
"78",2,3,2,1,TRUE,3,4,3,4,"564","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"79",5,4,4,2,TRUE,5,5,3,4,"564","6361a8a745dd1d5d6f192d36","Teleological",9,3,"To know why the self-driving car did not make some other decision.","Male","35-44 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"80",5,5,5,3,TRUE,5,5,5,1,"564","6447c5bcb9daeaff1ab6b56c","Teleological",9,1,"To know that I understand the self-driving car correctly.","Female","45-54 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"81",5,5,5,2,FALSE,5,5,5,4,"564","611bef112e9841a0a0f5a8d4","Teleological",9,2,"To know that I understand the self-driving car correctly.","Male","35-44 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"82",2,5,5,2,FALSE,5,5,5,5,"564","646f48e697286b05e29ad0d4","Teleological",9,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","55-64 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"83",2,4,3,2,FALSE,3,3,3,3,"564","5c6d6ed7031a7c0001908352","Teleological",9,2,"To know that I understand the self-driving car correctly.","Female","18-24 years old","60ff1e943b3775aee433004a","Female","35-44 years old"
"84",3,5,3,3,FALSE,4,3,5,2,"565","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","60965962e523358592059dcb","Female","65+ years old"
"85",5,5,5,3,FALSE,5,5,5,5,"565","6547d2f1f53f11ae40ae3e54","Teleological",9,2,"To know what the self-driving car would have done if something had been different.","Female","35-44 years old","60965962e523358592059dcb","Female","65+ years old"
"86",5,5,3,3,TRUE,5,4,2,4,"565","63d523d89e78ae6e711ada49","Teleological",9,2,"To know why the self-driving car did not make some other decision.","Male","18-24 years old","60965962e523358592059dcb","Female","65+ years old"
"87",5,4,4,3,TRUE,4,5,3,4,"565","636212999d9d4a04989c95e9","Teleological",9,4,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.","Male","35-44 years old","60965962e523358592059dcb","Female","65+ years old"
"88",3,3,3,3,FALSE,3,3,2,4,"565","6475e3b08c14ba10d9e6f70f","Teleological",9,2,"To know that I understand the self-driving car correctly.","Male","45-54 years old","60965962e523358592059dcb","Female","65+ years old"
"89",3,2,3,1,FALSE,4,3,3,3,"569","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","599467b55f49420001cafa81","Female","45-54 years old"
"90",4,4,2,2,FALSE,4,3,4,4,"569","6488e429e530a1949174c9f4","Teleological",9,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.","Male","55-64 years old","599467b55f49420001cafa81","Female","45-54 years old"
"91",5,3,5,1,TRUE,5,4,4,5,"569","654086b56a45118a32fe4f51","Teleological",9,4,"To know what the self-driving car would have done if something had been different.","Male","18-24 years old","599467b55f49420001cafa81","Female","45-54 years old"
"92",5,1,1,1,FALSE,1,1,1,1,"569","60b18fbfb6c5d8edfaa5bed0","Teleological",9,1,"To know that I understand the self-driving car correctly.","Female","65+ years old","599467b55f49420001cafa81","Female","45-54 years old"
"93",4,2,4,0,FALSE,4,4,4,3,"569","60e93525447d5e9ac6ebbd55","Teleological",9,3,"To know what the self-driving car would have done if something had been different.","Male","18-24 years old","599467b55f49420001cafa81","Female","45-54 years old"
"94",3,3,3,1,TRUE,3,3,2,3,"573","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"95",1,4,2,1,FALSE,2,2,1,2,"573","6414be45ec452483d7579868","Teleological",9,5,"To understand what the self-driving car would do next.","Male","35-44 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"96",4,4,4,1,TRUE,4,4,4,4,"573","654330ed45a4782f4794ff49","Teleological",9,2,"To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","35-44 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"97",3,3,2,1,TRUE,3,3,3,3,"573","55bc1119fdf99b5693f3ec47","Teleological",9,2,"To know what the self-driving car would have done if something had been different.","Male","25-34 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"98",4,4,3,2,FALSE,4,3,3,3,"573","64449372e128dca08d8184df","Teleological",9,1,"To know what the self-driving car would have done if something had been different.","Female","35-44 years old","63614a372fef8174fe8363f1","Male","18-24 years old"
"99",3,4,3,2,FALSE,3,4,3,3,"576","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"100",2,2,2,1,TRUE,2,2,2,2,"576","63d523d89e78ae6e711ada49","Teleological",9,2,"To know why the self-driving car did not make some other decision.","Male","18-24 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"101",4,5,4,2,TRUE,4,4,3,3,"576","636212999d9d4a04989c95e9","Teleological",9,4,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.","Male","35-44 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"102",4,4,4,3,TRUE,4,4,4,4,"576","5f565f889df06007662eaa84","Teleological",9,2,"To understand what the self-driving car would do next.","Female","45-54 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"103",1,1,1,1,FALSE,1,2,1,1,"576","6475e3b08c14ba10d9e6f70f","Teleological",9,2,"To know that I understand the self-driving car correctly.","Male","45-54 years old","610847fd403ae0217934a3a1","Female","35-44 years old"
"104",3,3,4,1,TRUE,3,4,3,3,"577","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"105",4,4,5,2,TRUE,5,4,5,4,"577","6469dc3806780b7f9bbefc5c","Teleological",9,5,"To understand what the self-driving car would do next.,To know what the self-driving car would have done if something had been different.","Female","65+ years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"106",5,2,2,1,FALSE,3,3,2,3,"577","6488e429e530a1949174c9f4","Teleological",9,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.","Male","55-64 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"107",5,2,4,1,FALSE,4,5,5,5,"577","611bef112e9841a0a0f5a8d4","Teleological",9,2,"To know that I understand the self-driving car correctly.","Male","35-44 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"108",4,4,5,1,FALSE,4,4,4,4,"577","63e51c6b462cfa8a42eba8b2","Teleological",9,2,"To know why the self-driving car did not make some other decision.","Male","35-44 years old","610a0cc86440f3b150d7a6d6","Female","18-24 years old"
"109",3,3,2,1,TRUE,3,4,4,3,"579","63d8b9a4a0e4ef51052ed449","Teleological",9,3,"To know that I understand the self-driving car correctly.","Female","25-34 years old","5b134a12bd9c31000156d4e2","Male","35-44 years old"
"110",4,4,4,2,TRUE,4,4,4,4,"579","654330ed45a4782f4794ff49","Teleological",9,2,"To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","35-44 years old","5b134a12bd9c31000156d4e2","Male","35-44 years old"
"111",2,1,3,0,FALSE,4,2,4,2,"579","65368c3a27f9818abb93b30f","Teleological",9,3,"I was surprised by the self-driving car's actions and want to know what I missed.","Female","55-64 years old","5b134a12bd9c31000156d4e2","Male","35-44 years old"
"112",3,3,5,1,FALSE,5,5,5,5,"579","646f48e697286b05e29ad0d4","Teleological",9,3,"To know that I understand the self-driving car correctly.,To understand what the self-driving car would do next.,To know why the self-driving car did not make some other decision.,To know what the self-driving car would have done if something had been different.","Male","55-64 years old","5b134a12bd9c31000156d4e2","Male","35-44 years old"
